date question attempt result student
20150130095536 busca_linear 0 False	322818521d8270d3552bb095c059227c
20150204085538 busca_linear 1 True	322818521d8270d3552bb095c059227c
20150223104051 busca_linear 0 False	3c9abb43f7ea87293dcedf0b771b3089
20150223104155 busca_linear 1 True	3c9abb43f7ea87293dcedf0b771b3089
20150212201713 busca_linear 0 False	2266f083633d65dfa5d9ebba099b86cd
20150212201949 busca_linear 1 True	2266f083633d65dfa5d9ebba099b86cd
20150204082129 busca_linear 0 False	f5856f1547add775adbee0fc4bae774d
20150204082339 busca_linear 1 True	f5856f1547add775adbee0fc4bae774d
20150204082442 busca_linear 2 True	f5856f1547add775adbee0fc4bae774d
20150303101400 busca_linear 0 False	b9a63e9bd4baf34e8013e3d39c62b0b3
20150303102222 busca_linear 1 True	b9a63e9bd4baf34e8013e3d39c62b0b3
20150209125922 busca_linear 0 False	6677ae8a512231c034add8b3cf0c4c02
20150209130026 busca_linear 1 True	6677ae8a512231c034add8b3cf0c4c02
20150206131206 busca_linear 0 False	e166ee85c09b56436f986246349104d6
20150206133335 busca_linear 1 False	e166ee85c09b56436f986246349104d6
20150307024438 busca_linear 0 False	35050953e093d858af587762687855a9
20150307024541 busca_linear 1 True	35050953e093d858af587762687855a9
20150212220024 busca_linear 0 False	c62fb95cdd231a589d8603fa1caa549f
20150212220057 busca_linear 1 False	c62fb95cdd231a589d8603fa1caa549f
20150202215429 busca_linear 0 False	1943db97901286dcf82290edaf600a9d
20150209100439 busca_linear 0 False	3b237873b264453614f52729a01898f7
20150210100501 busca_linear 0 False	57c85c7e8ff35077d8e9abd86498d474
20150210100608 busca_linear 1 True	57c85c7e8ff35077d8e9abd86498d474
20150203114820 busca_linear 0 False	f366c3bfeab75289b0f202dce0b57fa4
20150203114822 busca_linear 1 True	f366c3bfeab75289b0f202dce0b57fa4
20150205172244 busca_linear 0 False	c234524eec91bd6fabe46c81f8e51f29
20150130103935 busca_linear 0 False	83b29ea09528b891e9e0a54c74688c21
20150304133026 busca_linear 0 False	81aad77c5f584a3e8928d4998e9cac81
20150304133200 busca_linear 1 True	81aad77c5f584a3e8928d4998e9cac81
20150130103550 busca_linear 0 False	81b3ab9b694b89c38a602c9795a5883b
20150211134917 busca_linear 0 False	597d5c78cef692572494ac2f8462b94a
20150211140039 busca_linear 1 True	597d5c78cef692572494ac2f8462b94a
