Column,Cidade,UF,Salario.Bruto,Horas.Diarias,Tempo.de.Empresa,Experiencia.Profissional,Iniciativa.Privada.ou.Concursado,Cargo,Formacao,Pos.Graduacao.ou.Certificacao,Regiao
62,Recife,PJ,4500,8,7,7,Iniciativa Privada,Desenvolvedor Java,Bacharel em Ciência da Computação,FALSE,Nordeste
63,São Paulo,SP,4400,9,3,3,Iniciativa Privada,Outros Analistas,Bacharel em Ciência da Computação,FALSE,Sudeste
64,Belo Horizonte,MG,4300,8.8,0.5,5,Iniciativa Privada,Desenvolvedor Java,Bacharel em Ciência da Computação,TRUE,Sudeste
65,Porto Alegre,SC,4300,8,0.58,2,Concursado,Analista de Sistemas,Bacharel em Sistemas de informação,FALSE,Sul
66,São Paulo,SP,4300,8,0.58,4,Iniciativa Privada,Consultor,Engenharia da Computação,FALSE,Sudeste
67,Rio de Janeiro,RJ,4200,8,1,2,Concursado,Desenvolvedor Web,Bacharel em Ciência da Computação,FALSE,Sudeste
68,Brasilia,DF,4180,9,1.3,11,Iniciativa Privada,Consultor,Bacharel em Ciência da Computação,TRUE,Centro-oeste
69,São Paulo,SP,4100,8,1.66,4,Iniciativa Privada,Programador,Bacharel em Sistemas de informação,FALSE,Sudeste
70,Belém,PA,4000,8,2,12,Concursado,Outros Analistas,Bacharel em Ciência da Computação,TRUE,Norte
71,Brasilia,DF,4000,8,5,0.4,Concursado,Outros Analistas,Nao informou,FALSE,Centro-oeste
72,Goiânia,GO,4000,8,4,4,Concursado,Analista de Sistemas,Bacharel em Ciência da Computação,FALSE,Centro-oeste
73,Salvador,BA,4000,8.8,1,5,Iniciativa Privada,Banco de Dados,Bacharel em Ciência da Computação,FALSE,Nordeste
74,Brasilia,DF,3990,8,0.5,2,Concursado,Outros Analistas,Nao informou,FALSE,Centro-oeste
75,Rio de Janeiro,RJ,3990,7,5,10,Iniciativa Privada,Analista de Sistemas,Nao informou,TRUE,Sudeste
76,Rio de Janeiro,RJ,3950,8,2,5,Iniciativa Privada,Analista de Sistemas,Nao informou,TRUE,Sudeste
77,Belo Horizonte,MG,3928,8,0.25,1.5,Iniciativa Privada,Consultor,Bacharel em Ciência da Computação,FALSE,Sudeste
